"GC EI Compounds ID"	"Structure"	"TIC Sum"	"Name"	"RT in min"	"Reference mz"	"Avg TIC"	"NIST Lib Hit Formula"	"NIST Theo Mol Mass"	"NIST Observed Mol Mass"	"Area Max"	"MS Depth"	"Total Score"	"HRF Score"	"RHRF Score"	"SI"	"RSI"	"Calculated RI"	"RI Delta"	"MS2"	"Calc MW"	"Checked"	"Tags"	"Area Genuine_1raw F1"	"Area Genuine_2raw F2"	"Area Genuine_3raw F3"	"Area Suspect_1raw F4"	"Area Suspect_2raw F5"	"Area Suspect_3raw F6"	"Gap Status Genuine_1raw F1"	"Gap Status Genuine_2raw F2"	"Gap Status Genuine_3raw F3"	"Gap Status Suspect_1raw F4"	"Gap Status Suspect_2raw F5"	"Gap Status Suspect_3raw F6"	"Gap Fill Status Genuine_1raw F1"	"Gap Fill Status Genuine_2raw F2"	"Gap Fill Status Genuine_3raw F3"	"Gap Fill Status Suspect_1raw F4"	"Gap Fill Status Suspect_2raw F5"	"Gap Fill Status Suspect_3raw F6"
"78"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:03:13 2024 (hash=5a611fb1); 10 11  0  0  0  0  0  0  0  0  0;    0.0406    1.1773    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    0.7713    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    0.7713    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406    1.9486    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    0.0406    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    0.0406    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    2.3139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    2.3139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -0.3654    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -1.0961    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  1  0  0  0  0;  1  3  1  0  0  0  0;  1  4  1  0  0  0  0;  1  5  1  0  0  0  0;  2  5  1  0  0  0  0;  3  6  1  0  0  0  0;  4  7  1  0  0  0  0;  4  8  1  0  0  0  0;  5  9  1  0  0  0  0;  6  9  1  0  0  0  0;  9 10  2  0  0  0  0;$$$$"	"800700774"	"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-"	"9.595"	"93.07002"	"133450129"	"C10 H16"	"136.12465"	"136.12456"	"134305852"	"1"	"94.7"	"94.9"	"95.0"	"839"	"840"	"974"	"0"	"NoMSn"	"136.12511"	"False"	""	"134251360"	" 126810532"	" 134305852"	" 10746771"	" 11152862"	" 11491348"	"No gap"	" No gap"	" No gap"	" No gap"	" No gap"	" No gap"	"1"	" 1"	" 1"	" 1"	" 1"	" 1"
"79"	""	"2927073"	"Peak@9.598"	"9.598"	"121.17226"	"487846"	""	""	""	"254420"	"1"	""	""	""	""	""	"974"	""	"NoMSn"	"176.98590"	"False"	""	"162968"	" 205712"	" 254420"	" "	" "	" 9350"	"No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"1"	" 128"	" 128"	" 2"	" 2"	" 128"
"80"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:04:36 2024 (hash=30296742); 11 12  0  0  0  0  0  0  0  0  0;   -0.6144    0.9011    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6144    0.1229    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0819    1.3517    0.0000 N   0  0  0     0  3  0  0  0  0;    0.0410   -0.3686    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.3107   -0.3686    0.0000 O   0  0  0     0  2  0  0  0  0;    0.1638    2.1709    0.0000 C   0  0  0     0  0  0  0  0  0;    0.8192    1.0650    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.2048   -1.1469    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.0240   -1.1469    0.0000 C   0  0  0     0  0  0  0  0  0;    0.9421    2.3347    0.0000 C   0  0  0     0  0  0  0  0  0;    1.3517    1.6384    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  1  0  0  0  0;  1  3  1  0  0  0  0;  2  4  2  0  0  0  0;  2  5  1  0  0  0  0;  3  6  1  0  0  0  0;  3  7  1  0  0  0  0;  4  8  1  0  0  0  0;  5  9  1  0  0  0  0;  6 10  2  0  0  0  0;  7 11  2  0  0  0  0;  8  9  2  0  0  0  0; 10 11  1  0  0  0  0;$$$$"	"2284972"	"1H-Pyrrole, 1-(2-furanylmethyl)-"	"9.598"	"96.05243"	"380829"	"C9 H9 N O"	"147.06787"	""	"119755"	"1"	"67.2"	"65.8"	"68.3"	"542"	"575"	"974"	"213"	"NoMSn"	"81.07048"	"False"	""	"88519"	" 119755"	" 118227"	" 55615"	" 58045"	" 63366"	"Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 1"	" 128"	" 128"	" 128"	" 128"
"81"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:05:14 2024 (hash=967ef6e9); 13 13  0  0  0  0  0  0  0  0  0;   -1.7281   -0.1206    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.0047    0.2813    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.4113    0.2813    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.3215   -0.1206    0.0000 O   0  0  0     0  2  0  0  0  0;   -1.0047    0.9243    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.4113    0.9243    0.0000 C   0  0  0     0  0  0  0  0  0;    0.3215    0.2813    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0449   -0.1206    0.0000 C   0  0  0     0  0  0  0  0  0;    0.3215    0.9243    0.0000 O   0  0  0     0  2  0  0  0  0;    1.7683    0.2813    0.0000 C   0  0  0     0  0  0  0  0  0;    2.4515   -0.1206    0.0000 C   0  0  0     0  0  0  0  0  0;    3.1347    0.2813    0.0000 C   0  0  0     0  0  0  0  0  0;   -3.1347    1.2860    0.0000 O   0  0  0     0  2  0  0  0  0;  1  2  1  0  0  0  0;  1  3  1  0  0  0  0;  2  4  1  0  0  0  0;  2  5  2  0  0  0  0;  3  6  1  0  0  0  0;  4  7  1  0  0  0  0;  5  6  1  0  0  0  0;  6 13  2  0  0  0  0;  7  8  1  0  0  0  0;  7  9  2  0  0  0  0;  8 10  2  0  0  0  0; 10 11  1  0  0  0  0; 11 12  2  0  0  0  0;$$$$"	"10246288"	"2,4-Pentadienoic acid, 1-cyclopenten-3-on-1-yl ester"	"9.609"	"68.02570"	"1707715"	"C10 H10 O3"	"178.06245"	""	"199741"	"1"	"96.7"	"96.3"	"96.3"	"908"	"908"	"974"	""	"NoMSn"	"81.03405"	"False"	""	"188837"	" 199741"	" 189198"	" 123756"	" 151352"	" 149920"	"Full gap"	" Full gap"	" No gap"	" No gap"	" No gap"	" No gap"	"128"	" 128"	" 1"	" 1"	" 1"	" 1"
"82"	""	"6554899"	"Peak@9.609"	"9.607"	"68.02565"	"1092483"	""	""	""	"199741"	"1"	""	""	""	""	""	"974"	""	"NoMSn"	"429.08935"	"False"	""	"188837"	" 199741"	" 189198"	" 123756"	" 151352"	" 149920"	"Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 1"	" 128"	" 128"	" 128"	" 128"
"83"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:05:32 2024 (hash=e5483122); 24 25  0  0  0  0  0  0  0  0  0;    3.1671    1.6648    0.0000 F   0  0  0     0  1  0  0  0  0;    3.1671    0.8527    0.0000 C   0  0  0     0  0  0  0  0  0;    2.4769    0.4466    0.0000 C   0  0  0     0  0  0  0  0  0;    3.8574    0.4466    0.0000 C   0  0  0     0  0  0  0  0  0;    2.4769   -0.3654    0.0000 C   0  0  0     0  0  0  0  0  0;    1.7460    0.8527    0.0000 C   0  0  0     0  0  0  0  0  0;    3.1671   -0.7715    0.0000 C   0  0  0     0  0  0  0  0  0;    3.8574   -0.3654    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0557    0.4466    0.0000 N   0  0  0     0  3  0  0  0  0;    0.3654    0.8527    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0557   -0.3654    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.3654    0.4466    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.3654   -0.3654    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.0557    0.8527    0.0000 N   0  0  0     0  3  0  0  0  0;    0.3654   -0.7715    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.7460    0.4466    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.4363    0.8527    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.7460   -0.3654    0.0000 O   0  0  0     0  2  0  0  0  0;   -3.1671    1.2587    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.0302    1.5836    0.0000 F   0  0  0     0  1  0  0  0  0;   -2.8423    0.1624    0.0000 F   0  0  0     0  1  0  0  0  0;   -3.5732    0.5685    0.0000 F   0  0  0     0  1  0  0  0  0;   -2.7611    1.9896    0.0000 F   0  0  0     0  1  0  0  0  0;   -3.8574    1.6648    0.0000 F   0  0  0     0  1  0  0  0  0;  1  2  1  0  0  0  0;  2  3  2  0  0  0  0;  2  4  1  0  0  0  0;  3  5  1  0  0  0  0;  3  6  1  0  0  0  0;  4  8  2  0  0  0  0;  5  7  2  0  0  0  0;  6  9  1  0  0  0  0;  7  8  1  0  0  0  0;  9 10  1  0  0  0  0;  9 11  1  0  0  0  0; 10 12  1  0  0  0  0; 11 15  1  0  0  0  0; 12 13  1  0  0  0  0; 12 14  1  0  0  0  0; 13 15  1  0  0  0  0; 14 16  1  0  0  0  0; 16 17  1  0  0  0  0; 16 18  2  0  0  0  0; 17 19  1  0  0  0  0; 17 20  1  0  0  0  0; 17 21  1  0  0  0  0; 19 22  1  0  0  0  0; 19 23  1  0  0  0  0; 19 24  1  0  0  0  0;$$$$"	"3441963"	"1-(2-Fluorobenzyl)-3-piperidinamine, N-pentafluoropropionyl-"	"9.618"	"96.05701"	"573660"	"C15 H16 F6 N2 O"	"354.11613"	""	"261605"	"1"	"69.8"	"48.3"	"53.9"	"526"	"569"	"975"	"733"	"NoMSn"	"124.08886"	"False"	""	"138000"	" 137834"	" 105179"	" 229863"	" 255766"	" 261605"	"Full gap"	" Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 128"	" 1"	" 128"	" 128"	" 128"
"84"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:04:18 2024 (hash=b03e53dd); 19 20  0  0  0  0  0  0  0  0  0;    3.2924    2.3981    0.0000 C   0  0  0     0  0  0  0  0  0;    2.5201    2.3981    0.0000 O   0  0  0     0  2  0  0  0  0;    1.2600    1.7071    0.0000 C   0  0  0     0  0  0  0  0  0;    0.8536    1.0162    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.7723   -0.4065    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -0.4065    0.0000 S   0  0  0     0  6  0  0  0  0;    2.0730    1.7071    0.0000 C   0  0  0     0  0  0  0  0  0;    1.2600    0.2845    0.0000 C   0  0  0     0  0  0  0  0  0;    2.4794    1.0162    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.1787   -1.0975    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.1787    0.2845    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -1.2194    0.0000 O   0  0  0     0  2  0  0  0  0;    0.0406    0.4065    0.0000 O   0  0  0     0  2  0  0  0  0;    0.8536   -0.4065    0.0000 N   0  0  0     0  3  0  0  0  0;   -1.9917   -1.0975    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.9917    0.2845    0.0000 C   0  0  0     0  0  0  0  0  0;    2.0730    0.2845    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.4388   -0.4065    0.0000 C   0  0  0     0  0  0  0  0  0;   -3.2517   -0.4065    0.0000 N   0  0  0     0  3  0  0  0  0;  1  2  1  0  0  0  0;  2  7  1  0  0  0  0;  3  4  2  0  0  0  0;  3  7  1  0  0  0  0;  4  8  1  0  0  0  0;  5  6  1  0  0  0  0;  5 10  2  0  0  0  0;  5 11  1  0  0  0  0;  6 12  2  0  0  0  0;  6 13  2  0  0  0  0;  6 14  1  0  0  0  0;  7  9  2  0  0  0  0;  8 17  2  0  0  0  0;  8 14  1  0  0  0  0;  9 17  1  0  0  0  0; 10 15  1  0  0  0  0; 11 16  2  0  0  0  0; 15 18  2  0  0  0  0; 16 18  1  0  0  0  0; 18 19  1  0  0  0  0;$$$$"	"10189468"	"Benzenesulfonamide, 4-amino-N-(4-methoxyphenyl)-"	"9.699"	"95.08113"	"1698245"	"C13 H14 N2 O3 S"	"278.07196"	""	"907785"	"1"	"80.2"	"85.2"	"88.6"	"506"	"539"	"979"	""	"NoMSn"	"107.14519"	"False"	""	"804117"	" 891567"	" 907785"	" 47300"	" 56152"	" 51472"	"Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 1"	" 128"	" 128"	" 128"	" 128"
"85"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:03:13 2024 (hash=5a611fb1); 10 11  0  0  0  0  0  0  0  0  0;    0.0406    1.1773    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    0.7713    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    0.7713    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406    1.9486    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    0.0406    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    0.0406    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    2.3139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    2.3139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -0.3654    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -1.0961    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  1  0  0  0  0;  1  3  1  0  0  0  0;  1  4  1  0  0  0  0;  1  5  1  0  0  0  0;  2  5  1  0  0  0  0;  3  6  1  0  0  0  0;  4  7  1  0  0  0  0;  4  8  1  0  0  0  0;  5  9  1  0  0  0  0;  6  9  1  0  0  0  0;  9 10  2  0  0  0  0;$$$$"	"2118517647"	"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-"	"9.703"	"93.07002"	"353086274"	"C10 H16"	"136.12465"	"136.12456"	"431515992"	"1"	"95.2"	"95.7"	"95.7"	"844"	"844"	"980"	"6"	"NoMSn"	"136.12511"	"False"	""	"376687266"	" 396391193"	" 431515992"	" 22751535"	" 25290688"	" 25803374"	"No gap"	" No gap"	" No gap"	" No gap"	" No gap"	" No gap"	"1"	" 1"	" 1"	" 1"	" 1"	" 1"
"86"	""	"6770129"	"Peak@9.705"	"9.699"	"70.07330"	"1128355"	""	""	""	"669337"	"1"	""	""	""	""	""	"980"	""	"NoMSn"	"104.06263"	"False"	""	"577152"	" 616673"	" 669337"	" 46136"	" 64706"	" 50536"	"Full gap"	" Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 128"	" 1"	" 128"	" 128"	" 128"
"87"	""	"5407531"	"Peak@9.708"	"9.708"	"341.01782"	"901255"	""	""	""	"1102501"	"1"	""	""	""	""	""	"980"	""	"NoMSn"	"341.01837"	"False"	""	"1102501"	" 671495"	" 888641"	" "	" "	" "	"No gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"1"	" 1"	" 128"	" 2"	" 2"	" 2"
"88"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:05:26 2024 (hash=41135949);  7  6  0  0  0  0  0  0  0  0  0;    0.7070    0.7901    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000    0.4575    0.0000 C   0  0  0     0  0  0  0  0  0;    0.7070    1.6635    0.0000 O   0  0  0     0  2  0  0  0  0;    1.4139    0.4575    0.0000 N   0  0  0     0  3  0  0  0  0;   -0.7070    0.7901    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000   -0.4159    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.4139    0.4575    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  1  0  0  0  0;  1  3  2  0  0  0  0;  1  4  1  0  0  0  0;  2  5  1  0  0  0  0;  2  6  1  0  0  0  0;  5  7  1  0  0  0  0;$$$$"	"7430269"	"2-Methylbutyramide"	"9.780"	"113.05970"	"1238378"	"C5 H11 N O"	"101.08352"	""	"180372"	"1"	"89.6"	"90.2"	"100.0"	"674"	"752"	"984"	"41"	"NoMSn"	"72.04494"	"False"	""	""	" "	" 121178"	" 162509"	" 175788"	" 180372"	"Missing reference mass"	" Missing reference mass"	" No gap"	" Full gap"	" Full gap"	" Full gap"	"2"	" 2"	" 1"	" 128"	" 128"	" 128"
"89"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:03:35 2024 (hash=b34ce59e); 21 21  0  0  0  0  0  0  0  0  0;   -2.1089    1.0139    0.0000 O   0  0  0     0  2  0  0  0  0;   -2.1089    0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.8389   -0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.4194   -0.2028    0.0000 O   0  0  0     0  2  0  0  0  0;   -3.5283    0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.8389   -1.0139    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.7300    0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;   -4.2177   -0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.7300    1.0139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000   -0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000    1.4194    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6894    0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6894    1.0139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000    2.2305    0.0000 C   0  0  0     0  0  0  0  0  0;    1.3789   -0.2028    0.0000 O   0  0  0     0  2  0  0  0  0;    2.1089    0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;    2.7983   -0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;    2.1089    1.0139    0.0000 O   0  0  0     0  2  0  0  0  0;    2.7983   -1.0139    0.0000 C   0  0  0     0  0  0  0  0  0;    3.4877    0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;    4.2177   -0.2028    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  2  0  0  0  0;  2  3  1  0  0  0  0;  2  4  1  0  0  0  0;  3  5  2  0  0  0  0;  3  6  1  0  0  0  0;  4  7  1  0  0  0  0;  5  8  1  0  0  0  0;  7  9  2  0  0  0  0;  7 10  1  0  0  0  0;  9 11  1  0  0  0  0; 10 12  2  0  0  0  0; 11 13  2  0  0  0  0; 11 14  1  0  0  0  0; 12 15  1  0  0  0  0; 12 13  1  0  0  0  0; 15 16  1  0  0  0  0; 16 17  1  0  0  0  0; 16 18  2  0  0  0  0; 17 19  1  0  0  0  0; 17 20  2  0  0  0  0; 20 21  1  0  0  0  0;$$$$"	"149537343"	"Orcinyl di-angelate"	"9.789"	"55.05446"	"24922890"	"C17 H20 O4"	"288.13561"	""	"26615382"	"1"	"94.3"	"95.0"	"94.7"	"814"	"895"	"984"	""	"NoMSn"	"97.10180"	"False"	""	"8338796"	" 8881799"	" 9909303"	" 23873783"	" 26298292"	" 26615382"	"Full gap"	" Full gap"	" Full gap"	" No gap"	" No gap"	" No gap"	"128"	" 128"	" 128"	" 1"	" 1"	" 1"
"90"	""	"3418179"	"Peak@9.793"	"9.795"	"96.00415"	"569696"	""	""	""	"82459"	"1"	""	""	""	""	""	"985"	""	"NoMSn"	"94.07675"	"False"	""	"59524"	" 43190"	" 42397"	" 82459"	" 38174"	" 69535"	"No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"1"	" 128"	" 128"	" 128"	" 128"	" 128"
"91"	""	"3215814"	"Peak@9.795"	"9.795"	"96.00420"	"535969"	""	""	""	"82459"	"1"	""	""	""	""	""	"985"	""	"NoMSn"	"94.07675"	"False"	""	"59524"	" 43190"	" 42397"	" 82459"	" 38174"	" 69535"	"Full gap"	" Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 128"	" 1"	" 128"	" 128"	" 128"
"92"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:05:58 2024 (hash=b80e5f32);  9  8  0  0  0  0  0  0  0  0  0;   -2.0807    0.4080    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.3464    0.8160    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6528    0.4080    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000    0.8160    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6936    0.4080    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000    1.6320    0.0000 C   0  0  0     0  0  0  0  0  0;    1.4280    0.8160    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6936   -0.4080    0.0000 C   0  0  0     0  0  0  0  0  0;    2.1215    0.4080    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  2  0  0  0  0;  2  3  1  0  0  0  0;  3  4  1  0  0  0  0;  4  5  1  0  0  0  0;  4  6  1  0  0  0  0;  5  7  1  0  0  0  0;  5  8  1  0  0  0  0;  7  9  2  0  0  0  0;$$$$"	"64424799"	"1,5-Heptadiene, 3,4-dimethyl-"	"9.818"	"70.07327"	"10737466"	"C9 H16"	"124.12465"	""	"18742891"	"1"	"94.7"	"92.4"	"93.2"	"888"	"914"	"986"	""	"NoMSn"	"95.07718"	"False"	""	"17095148"	" 16756998"	" 18742891"	" 195252"	" 201474"	" 220407"	"Full gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	" No gap"	"128"	" 128"	" 128"	" 128"	" 128"	" 1"
"93"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:05:01 2024 (hash=49134778);  8  7  0  0  0  0  0  0  0  0  0;    1.0153    0.6092    0.0000 C   0  0  0     0  0  0  0  0  0;    0.2437    0.6092    0.0000 C   0  0  0     0  0  0  0  0  0;    1.8682    0.6092    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6092    0.6092    0.0000 C   0  0  0     0  0  0  0  0  0;    2.2743   -0.0812    0.0000 C   0  0  0     0  0  0  0  0  0;    2.2337    1.2996    0.0000 O   0  0  0     0  2  0  0  0  0;   -1.3808    0.6092    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.2337    0.6092    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  3  0  0  0  0;  1  3  1  0  0  0  0;  2  4  1  0  0  0  0;  3  5  1  0  0  0  0;  3  6  2  0  0  0  0;  4  7  3  0  0  0  0;  7  8  1  0  0  0  0;$$$$"	"42687860"	"3,5-Heptadiyn-2-one"	"9.827"	"62.01518"	"7114643"	"C7 H6 O"	"106.04132"	""	"6974878"	"1"	"68.5"	"62.8"	"77.5"	"509"	"631"	"986"	""	"NoMSn"	"62.01573"	"False"	""	"5394121"	" 6475370"	" 6974878"	" "	" 70575"	" 72445"	"Full gap"	" Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 128"	" 1"	" 2"	" 128"	" 128"
"94"	""	"47098872"	"Peak@9.820"	"9.820"	"95.07679"	"7849812"	""	""	""	"10253354"	"1"	""	""	""	""	""	"986"	""	"NoMSn"	"116.05824"	"False"	""	"8598359"	" 9690934"	" 10253354"	" 44551"	" 58407"	" 46601"	"Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 1"	" 128"	" 128"	" 128"	" 128"
"95"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:06:33 2024 (hash=17329a16); 10  9  0  0  0  0  0  0  0  0  0;   -0.3252   -0.0000    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.3252    0.8129    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0974   -0.0000    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0974    0.8129    0.0000 C   0  0  0     0  0  0  0  0  0;    0.4065    1.2194    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.0161    1.2194    0.0000 C   0  0  0     0  0  0  0  0  0;    1.7884    1.2194    0.0000 C   0  0  0     0  0  0  0  0  0;    2.4794    0.8129    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.7071    0.8129    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.4387    1.2194    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  1  0  0  0  0;  2  5  1  0  0  0  0;  2  6  1  0  0  0  0;  3  4  1  0  0  0  0;  4  7  1  0  0  0  0;  4  5  1  0  0  0  0;  6  9  2  0  0  0  0;  7  8  2  0  0  0  0;  9 10  1  0  0  0  0;$$$$"	"1086371515"	"1,6-Octadiene, 3,5-dimethyl-, trans-"	"9.820"	"92.05765"	"181061919"	"C10 H18"	"138.14030"	""	"325680043"	"1"	"65.4"	"38.5"	"38.5"	"502"	"502"	"986"	""	"NoMSn"	"92.05820"	"False"	""	"286213709"	" 291670228"	" 325680043"	" 1562733"	" 1819147"	" 1994091"	"Full gap"	" Full gap"	" Full gap"	" No gap"	" Full gap"	" Full gap"	"128"	" 128"	" 128"	" 1"	" 128"	" 128"
"96"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:03:13 2024 (hash=5a611fb1); 10 11  0  0  0  0  0  0  0  0  0;    0.0406    1.1773    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    0.7713    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    0.7713    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406    1.9486    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    0.0406    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    0.0406    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6495    2.3139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6901    2.3139    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -0.3654    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0406   -1.0961    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  1  0  0  0  0;  1  3  1  0  0  0  0;  1  4  1  0  0  0  0;  1  5  1  0  0  0  0;  2  5  1  0  0  0  0;  3  6  1  0  0  0  0;  4  7  1  0  0  0  0;  4  8  1  0  0  0  0;  5  9  1  0  0  0  0;  6  9  1  0  0  0  0;  9 10  2  0  0  0  0;$$$$"	"23682535735"	"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-"	"9.824"	"93.07002"	"3947089289"	"C10 H16"	"136.12465"	"136.12456"	"5147081287"	"1"	"94.5"	"96.1"	"96.1"	"803"	"805"	"986"	"12"	"NoMSn"	"136.12511"	"False"	""	"4545442157"	" 4711226257"	" 5147081287"	" 27372611"	" 31035787"	" 33485674"	"No gap"	" No gap"	" No gap"	" No gap"	" No gap"	" No gap"	"1"	" 1"	" 1"	" 1"	" 1"	" 1"
