"GC EI Compounds ID"	"Name"	"Area Mean (Genuine)"	"Area Mean (Suspect)"	"New CD Table ID"	"New CD Table WorkflowID"
86	"Peak@9.705"	621054	53792.6666666667	86	239
87	"Peak@9.708"	887545.666666667	NA	87	239
88	"2-Methylbutyramide"	NA	172889.666666667	88	239
89	"Orcinyl di-angelate"	9043299.33333333	25595819	89	239
90	"Peak@9.793"	48370.3333333333	63389.3333333333	90	239
91	"Peak@9.795"	48370.3333333333	63389.3333333333	91	239
92	"1,5-Heptadiene, 3,4-dimethyl-"	17531679	205711	92	239
93	"3,5-Heptadiyn-2-one"	6281456.33333333	NA	93	239
94	"Peak@9.820"	9514215.66666667	49853	94	239
95	"1,6-Octadiene, 3,5-dimethyl-, trans-"	301187993.333333	1791990.33333333	95	239
96	"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-"	4801249900.33333	30631357.3333333	96	239
97	"Formic acid, trans-4-methylcyclohexyl ester"	269074.333333333	384958.666666667	97	239
98	"Peak@9.854"	535403.666666667	NA	98	239
99	"4-Hexen-1-ol, acetate, (Z)-"	220884.333333333	257710.333333333	99	239
100	"Orthoformic acid, tri-sec-butyl ester"	3896187	3784121	100	239
101	"Ethyl trans-2-pentenoate"	448030.666666667	486108.333333333	101	239
102	"N,N'-Bis(2,6-dimethyl-6-nitrosohept-2-en-4-one)"	448030.666666667	486108.333333333	102	239
103	"Jaboticabin acid, 5TMS"	309067.333333333	145489.666666667	103	239
104	"Oxalic acid, butyl propyl ester"	1853241.33333333	940918.333333333	104	239
105	"Butanoic acid, 2-methyl-, 2-methyl-2-propenyl ester"	1853241.33333333	940918.333333333	105	239
106	"1,3-Pentanediol, 2-methyl-"	636514.333333333	1460151.66666667	106	239
107	"Peak@10.092"	636514.333333333	1460151.66666667	107	239
108	"2-Methyl-2,3-pentanediol"	636514.333333333	1460151.66666667	108	239
109	"Butane, 1-(2-propenyloxy)-"	380750	1025600	109	239
110	"Peak@10.094"	884677	649538	110	239
111	"Trifluorotris(trimethylsilyl)methylsilane"	438953	383585.333333333	111	239
112	"Peak@10.098"	278546	277074	112	239
113	"Peak@10.101"	5488632.33333333	6994251.66666667	113	239
114	"Peak@10.101"	1249461.33333333	1153605	114	239
115	"CJ 20556, 2TMS"	60785440	40785458.3333333	115	239
116	"2-Propenoic acid, 2-methyl-, 1-methylbutyl ester"	1301418.33333333	612678.666666667	116	239
117	"Peak@10.128"	1098918.33333333	NA	117	239
118	"Peak@10.128"	1871216	NA	118	239
119	"Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-"	1201192528.66667	25558551.3333333	119	239
120	"Dimethyl 9,10,19,20-tetrahydrotetrabenzo[b,d,H,j][1,6]diazacyclododecine-2,7-dicarboxylate  #"	312368.666666667	329231.333333333	120	239
121	"Jaboticabin acid, 5TMS"	1084356.33333333	882814	121	239
122	"1,2,5-Oxadiazole, 3,4-bis(2-thienylcarbonylamino)-"	163431.333333333	583666	122	239
123	"2-Propanol, 1-methoxy-2-methyl-"	99430.6666666667	NA	123	239
124	"Ethanone, 1-(2-pyridinyl)-"	52517.6666666667	788569.333333333	124	239
125	"N-Cbz-glycylglycine p-nitrophenyl ester"	10919421	9065858.33333333	125	239
126	"β-Ocimene"	231666606.666667	6360597.66666667	126	239
127	"Valeric anhydride"	303713.666666667	678378.333333333	127	239
128	"Peak@10.307"	304128.666666667	439966	128	239
129	"Nonane, 2,6-dimethyl-"	16584207.6666667	17103394.3333333	129	239
130	"1H-1,2,3,4-Tetrazole-1-propanoic acid, 2-(4-fluorophenyl)-2-oxoethyl ester"	17318539.3333333	140748	130	239
131	"(+)-4-Carene"	5675977512	51854305.3333333	131	239
132	"2-Ethyl-6-phenyl-1,3,4-thiadiazolo(3,2-a)(1,3,5)-triazine-5,7-dione"	35139497.3333333	5350649.66666667	132	239
133	"Peak@10.380"	92571934	15325548	133	239
134	"Peak@10.384"	30552720	4604400.66666667	134	239
135	"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-"	54519406786.3333	7477020469	135	239
136	"1-Methyl-3-phenylpiperazine"	774378430.666667	132076917	136	239
137	"Peak@10.411"	NA	674666	137	239
138	"Peak@10.467"	238679	18380059.6666667	138	239
139	"2-Caren-4-ol"	6024735	NA	139	239
140	"Cyclopentene, 3,3'-oxybis-"	208182.666666667	NA	140	239
141	"Bicyclo[2.2.1]heptane, 2-(1-methylpropyl)-"	106014.333333333	50525.6666666667	141	239
142	"Cyclopentane, 1-butyl-2-ethyl-"	3972710.33333333	3650242	142	239
143	"Carbonic acid, pentyl phenyl ester"	23688884.3333333	1373388.66666667	143	239
144	"4-Phenyl-n-(2-pyridyl)butanamide"	485234718.333333	108992477	144	239
145	"6-[4-Methoxybenzyloxy]-8-nitrolepidine"	367437155	14980820	145	239
146	"2-[N-Aziridyl]methylpyrrole"	20547779.3333333	3931814	146	239
147	"2-Penten-4-yne, 2-methyl-"	130919271.666667	7937971.33333333	147	239
148	"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene"	5181187117.66667	145429950.333333	148	239
149	"Phenacylidene diacetate"	879336683.333333	14499919.6666667	149	239
150	"Phenacylidene diacetate"	122597497.333333	4620193	150	239
151	"Eucalyptol"	167316855.666667	464714879.666667	151	239
152	"2-(2-Acetoxy-1-propyl)furan, (S)"	79140307.3333333	140280290.666667	152	239
153	"2-Cyclopentene-1-carboxylic acid, 1-methyl-, methyl ester"	64493917	9260021	153	239
154	"Hexane, 3,3,4,4-tetrafluoro-"	130919271.666667	7937971.33333333	154	239
155	"5-Nitro-2-(4-piperidinyloxy)pyridine"	2959430.66666667	2346964	155	239
156	"acetamide, N-[(1H-1,2,4-triazol-5-ylamino)carbonyl]-"	380229.333333333	2956554	156	239
157	"Peak@10.599"	148028	2105727	157	239
158	"2-((Diethoxyphosphoryl)methyl)-5-methylpyrrole"	33187.6666666667	647052.666666667	158	239
159	"Cyclopentane, 1,1,3,4-tetramethyl-, cis-"	1329369.33333333	1482490	159	239
160	"Oxalic acid, butyl cyclobutyl ester"	144383.333333333	115035.666666667	160	239
161	"Propanoic acid, 5-hexen-1-yl ester"	12164677	891638	161	239
162	"Peak@10.768"	685991.666666667	NA	162	239
163	"β-Ocimene"	488009345	3915734.66666667	163	239
164	"Pentanoic acid, 2-methyl-, anhydride"	NA	70845	164	239
165	"Terephthalic acid, 1-bromo-3,3,3-trifluoroprop-2-yl octyl ester"	95123.6666666667	NA	165	239
166	"Benzene, [1-[[1-(1-methylethyl)-3-butenyl]oxy]ethyl]-, [S-(R*,R*)]-"	1001308.66666667	4715733.66666667	166	239
167	"Peak@10.795"	182521	226219	167	239
168	"Peak@10.795"	205193.666666667	72955.3333333333	168	239
169	"2,2,6,6-Tetramethylheptane"	168932	771539	169	239
170	"Pentanoic acid, 1,1-dimethylpropyl ester"	754894.666666667	136016	170	239
171	"2-(2-Methyl-[1,3]dithiolan-2-ylmethyl)-tetrahydro-pyran-3,4,5-triol"	29908.3333333333	NA	171	239
172	"Ether, 2-ethylhexyl tert-butyl"	2421440.33333333	1085549.33333333	172	239
173	"Sorbic acid vinyl ester"	118258	128964.666666667	173	239
174	"p-Cresol"	4138300.66666667	5904887.66666667	174	239
175	"Benzene, 1-methyl-3-(1-methylethyl)-"	20876905.6666667	6330362	175	239
176	"2,4-Dihydroxybenzoic acid, (2,3-dichlorobenzylidene)hydrazide"	37945504	531548	176	239
177	"γ-Terpinene"	31111325258.6667	473773505	177	239
178	"1,2-Bis(4-methoxyphenyl)ethane-1,2-diamine"	362514512.333333	4989779.66666667	178	239
179	"Isobutyric acid 3,5-dichloro-2,6-dimethyl-4-pyridyl ester"	3654002.33333333	2655084	179	239
180	"2,2'-Dithiodibenzoic acid, 2TMS derivative"	NA	NA	180	239
181	"2-Methylbenzoic acid, 2,5-dichlorophenyl ester"	48284809.3333333	41758565.3333333	181	239
182	"1,7-Di(2-methylbutyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane"	423328.666666667	512006.666666667	182	239
183	"Peak@11.109"	505453	458729	183	239
184	"4-Hydrazino-N-methylbenzenemethanesulfonamide, 2TMS"	420024.666666667	NA	184	239
185	"Peak@11.118"	2293285.66666667	319781	185	239
186	"1,3-Dioxan-5-ol, 2-phenyl-4-(1H-pyrazol-3-yl)-, [2R-(2α,4α,5β)]-"	1439064	152319	186	239
187	"1-(2,4-Dimethyl-furan-3-yl)-ethanone"	2134455	451763	187	239
188	"2-Methyl-2-butyl-1,3-benzodioxole"	302950.333333333	162327.666666667	188	239
189	"4-Chloro-N-[3-(dimethylamino)propyl]-3-nitrobenzenesulfonamide, N-acetyl-"	3103895.33333333	476841.666666667	189	239
190	"Peak@11.127"	5632180.66666667	802579.666666667	190	239
191	"Peak@11.127"	3638545	562153	191	239
192	"3-Hydroxy-4-methoxy-4-oxobutanoic acid"	2228217	371637.666666667	192	239
193	"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1α,2β,5α)-"	1129251856.66667	195796504	193	239
194	"1-Hexene, 4-methyl-"	3389243.33333333	550488.333333333	194	239
195	"Peak@11.134"	2075360.33333333	270858	195	239
196	"Peak@11.136"	105488	154245	196	239
197	"Oxalic acid, 2-ethylhexyl hexyl ester"	1092736.66666667	2450851.66666667	197	239
198	"trans-Linalool oxide (furanoid)"	61283190.6666667	8976787.66666667	198	239
199	"Propanoic acid, 2,2-dimethyl-, t-butyl ester"	432041	1344098	199	239
200	"3,7-Dimethyl-2,3,3a,4,5,6-hexahydro-1-benzofuran  #"	NA	294892	200	239
201	"Octane, 2,6,6-trimethyl-"	1417758.33333333	2016764.66666667	201	239
202	"Succinic acid, 3-methylbut-2-en-1-yl 2-methoxy-5-methylphenyl ester"	49921.3333333333	2641018	202	239
203	"Butanoate,3-methyl-2-butenyl 2-methyl-"	195873.666666667	432061	203	239
204	"3-Heptyne-2,6-dione, 5-methyl-5-(1-methylethyl)-"	2105608.33333333	2692236	204	239
205	"Ethanone, 2-hydroxy-1-phenyl-"	44215748.3333333	12512332.6666667	205	239
206	"Benzene, 4-ethenyl-1,2-dimethyl-"	29595695.3333333	35259262.3333333	206	239
207	"5-[(Furan-2-ylmethyl)amino]-2-(3-methylphenyl)-1,3-oxazole-4-carbonitrile, N-trifluoroacetyl"	772455.333333333	736500.333333333	207	239
208	"Benzaldehyde, 4-benzyloxy-3-ethoxy-"	1350026	NA	208	239
209	"3-[(4-Fluoroanilino)carbonyl]-1,2,2-trimethylcyclopentanecarboxylic acid"	866128.666666667	1043877	209	239
210	"Peak@11.421"	154980.333333333	409548.333333333	210	239
211	"4,7-Dimethyl-5-decyne-4,7-diol"	3927056.66666667	4169564	211	239
212	"trans-Linalool oxide (furanoid)"	4244619	4786200.33333333	212	239
213	"Carbonic acid, decyl phenyl ester"	2619332.33333333	2025043.66666667	213	239
214	"Hexanenitrile, 3-methyl-"	501238.333333333	649329.333333333	214	239
215	"(Z)-(Z)-Hex-3-en-1-yl 2-methylbut-2-enoate"	293892.666666667	117616.666666667	215	239
216	"3,4-Dimethyl-1,2-cyclopentadione, Ac derivative"	3323714.33333333	1315916	216	239
217	"6-Methyl-3,5-heptadiene-2-one"	2685887	13315476.6666667	217	239
218	"3-Decene, 2,2-dimethyl-, (E)-"	29868370.3333333	30926102	218	239
219	"4-Ethyl-2-hexynal"	4227075.66666667	2609360.33333333	219	239
220	"Cyclopentanecarboxylic acid, 3-methylene-, 1,7,7-trimethylbicyclo[2.2.1]hept-2-yl ester"	1655981.33333333	2904112.66666667	220	239
221	"3-Buten-2-ol, 2,3-dimethyl-"	1836839	123019.333333333	221	239
222	"2-Undecen-4-ol"	32303	65911	222	239
223	"2-(1-Methylcyclohexyloxy)-tetrahydropyran"	648214	1573644	223	239
224	"3-Phenylpropionic acid, 4-isopropylphenyl ester"	117663852.333333	589887087	224	239
225	"Cyclopentane, 1,1,3,3-tetramethyl-"	16700487.3333333	16938252	225	239
226	"Peak@11.540"	871363	913861.666666667	226	239
227	"L-Glutamine tert-butyl ester"	6728895.33333333	10270344.6666667	227	239
228	"Phosphorodichloridic acid, octyl ester"	2342546.33333333	3441918	228	239
229	"4,4'-Bi-1,3,2-dioxaborolane, 2,2'-diethyl-, (R*,S*)-"	4081900	84722.6666666667	229	239
230	"2-Pentene, 3-ethyl-4,4-dimethyl-"	2342546.33333333	3441918	230	239
231	"N-Methyl-N-[2-(N-methylprop-2-enamido)ethyl]prop-2-enamide"	73510356.6666667	1668880.66666667	231	239
232	"3-Azatricyclo[4.2.1.0(2,5)]non-7-en-4-one, exo,exo-"	3403172.33333333	5088988.66666667	232	239
233	"Linalyl acetate"	768730349.333333	1749727464.33333	233	239
234	"3-Methyl-2,4-pentadien-1-ol"	86039001	175472109	234	239
235	"4-Piperidinylacetonitrile"	6728895.33333333	10270344.6666667	235	239
236	"4,8-Dimethylnona-3,8-dien-2-one"	30505217	62092527.3333333	236	239
237	"N,N-Dimethyl-2-methoxyethylamine"	4144266.33333333	10684242.3333333	237	239
238	"Butanoic acid, 1-phenylethyl ester"	1918113.33333333	2608848.33333333	238	239
239	"2-Picoline, 6-nitro-"	8500759	NA	239	239
240	"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1α,2β,5α)-"	136338645.666667	164158943	240	239
241	"N-(Benzyloxycarbonyloxy)succinimide"	2910279	3036622.33333333	241	239
242	"Peak@11.621"	8500759	8678191.33333333	242	239
243	"Penten-3-yl tiglate, 1-"	3926786	3191601.66666667	243	239
244	"Heptane, 4-azido-"	NA	403657.666666667	244	239
245	"Jaboticabin acid, 5TMS"	58683.6666666667	46685.6666666667	245	239
246	"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1α,2β,5α)-"	59532172.6666667	110562235.666667	246	239
247	"Ethanone, 1-(1-methyl-2-cyclopenten-1-yl)-"	6585679	NA	247	239
248	"4-Methyl-1-prop-1-ynyl-cyclohexanol"	1266720.66666667	114936.666666667	248	239
249	"Furan, 2,3,5-trimethyl-"	3110482	433361.666666667	249	239
250	"5,7-Octadien-4-one, 2,6-dimethyl-, (E)-"	48386778.6666667	12377017.6666667	250	239
251	"Methyl 1-methoxybicyclo[2.2.2]oct-5-ene-2-carboxylate (isomer 3)"	187266	52227.3333333333	251	239
252	"N-(2-Hydroxyethyl)benzeneacetamide, N,O-bis(trifluoroacetyl)-"	590536.666666667	327233.666666667	252	239
253	"Benzene, 1-isocyano-3-methyl-"	14636045.6666667	7349561.66666667	253	239
254	"((1R,2R,4S,5S, 7s)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]non-7-yl hydroxy[di(2-thienyl)]acetate), TMS"	979867.333333333	907111.333333333	254	239
255	"((1R,2R,4S,5S, 7s)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]non-7-yl hydroxy[di(2-thienyl)]acetate), TMS"	6586899.66666667	6704424.66666667	255	239
256	"Peak@11.809"	447164.333333333	462737	256	239
257	"2-Dimethyl(pentafluorophenyl)silyloxypentadecane"	322527.666666667	338158.666666667	257	239
258	"6-(1-Hydroxy-1-methylethyl)-3-methylcyclohex-3-enone"	5554847.33333333	1488480	258	239
259	"Bicyclo[3.1.0]hexan-3-one, 4-methyl-1-(1-methylethyl)-, [1S-(1α,4β,5α)]-"	5615650.33333333	1618586.33333333	259	239
260	"2-Ethenoxy-1,7,7-trimethylbicyclo(2.2.1)heptane"	1416705	590562	260	239
261	"2-Fluorobenzoic acid, 4-isopropylphenyl ester"	18675.3333333333	178844.333333333	261	239
262	"Methyl nicotinate"	2247199	3827186.66666667	262	239
263	"2-(3-Pyridinylmethoxy)aniline, N-acetyl-"	2132076.33333333	11560068.6666667	263	239
264	"3-Heptyne-2,6-dione, 5-methyl-5-(1-methylethyl)-"	48664.6666666667	112921.333333333	264	239
265	"2,6,6-Trimethyl-2-cyclohexene-1,4-dione"	36962	532950	265	239
266	"Cyclopropane, ethenylmethylene-"	21949781.3333333	19341966	266	239
267	"Peak@12.009"	1247196	1023065	267	239
268	"2-Cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, cis-"	58866670.3333333	53025796.6666667	268	239
269	"9-Ethylbicyclo(3.3.1)nonan-9-ol"	24811022.3333333	21813066.3333333	269	239
270	"1H-Pyrazole, 4-ethyl-3,5-dimethyl-"	NA	NA	270	239
271	"Methyl nicotinate"	15524950	7648162	271	239
272	"N,N'-Bis(2,6-dimethyl-6-nitrosohept-2-en-4-one)"	148451.333333333	172274	272	239
273	"5-Undecen-4-one"	1659592	230699.666666667	273	239
274	"Carbonic acid, propargyl 2-ethylhexyl ester"	225381.666666667	24326.3333333333	274	239
275	"Pyrimido[4,5-d]pyrimidine-2,7-dione, perhydro-4,5-dimethyl-"	3682419.33333333	1321017.33333333	275	239
276	"Citronellyl tiglate"	6805500.33333333	838968.666666667	276	239
277	"1,3-Cyclohexadiene, 1,5,5,6-tetramethyl-"	11877025.6666667	19341966	277	239
278	"Glycine, N-[(phenylmethoxy)carbonyl]-, hydrazide"	1844512	NA	278	239
279	"Cyclopentene, 3-methyl-"	7824625	NA	279	239
280	"2-[[4-(Methylamino)benzoyl]amino]glutaric acid diethyl ester"	NA	240436.666666667	280	239
281	"9-Ethylbicyclo(3.3.1)nonan-9-ol"	8523693.66666667	18264644.6666667	281	239
282	"2-Methylbutanoic anhydride"	387518.666666667	9077.66666666667	282	239
283	"Cyclopentanecarboxylic acid, ethenyl ester"	7033725.66666667	6887154.33333333	283	239
284	"3-Pyrrolidinecarboxylic acid, 5-oxo-1-(2-pyridinylmethyl)-"	6202739.33333333	9304066.33333333	284	239
285	"5-Oxotetrahydrofuran-2-carboxylic acid, ethyl ester"	411895.333333333	186298.666666667	285	239
286	"2-Pentene, 4,4'-oxybis-"	1853422.66666667	1689496	286	239
287	"2-Methylallyl methacrylate"	481933.333333333	567079.333333333	287	239
288	"Acrylic acid, 2-(methylenecyclopropyl)ethyl ester"	NA	10631686.3333333	288	239
289	"(+)-2-Bornanone"	312414693.333333	282162076.333333	289	239
290	"Bicyclo[2.2.1]heptane-2,3-dione, 6-(acetyloxy)-1,5,5-trimethyl-, endo-"	55150278.3333333	80029660.6666667	290	239
291	"Peak@12.299"	12233042.3333333	9569067.33333333	291	239
292	"Hexanal benzyl cis-3-hexenyl acetal"	8393866.66666667	14315076.3333333	292	239
293	"(1R,2S,5S)-2-methyl-5-(propan-2-yl)bicyclo[3.1.0]hexan-2-yl acetate"	24101316.6666667	32344235.3333333	293	239
294	"1,2-Ethanediol, 1,2-di-4-pyridinyl-, (R*,R*)-(±)-"	349008	775342	294	239
295	"Sabinyl, 2-methylbutanoate"	728658.666666667	2094020	295	239
296	"3-Ethyl-3-methylglutaric anhydride"	875564.333333333	1728765	296	239
297	"2-(2-Hydroxycyclooctyl)-furan"	5670971	9304066.33333333	297	239
298	"Furan, 2-(nonadecanoyl)-"	429884.666666667	508688	298	239
299	"Peak@12.337"	498822.666666667	599938.333333333	299	239
300	"1-(4-Methoxy-3-methylphenyl)ethan-1-one"	1133594.66666667	42678	300	239
301	"1,2-Diphenylpropane-1,2-diol"	6400393.66666667	211695	301	239
302	"Carbonic acid, phenyl undec-10-enyl ester"	1433137.66666667	1447326	302	239
303	"4-Methylbenzoic acid, 3-pentyl ester"	3234334	2854101.33333333	303	239
304	"trans-8a-Methylperhydroazulen-4(1H)-one"	14914825.6666667	343940	304	239
305	"1-(2,4-Dimethyl-furan-3-yl)-ethanone"	1041793.33333333	2629262	305	239
306	"3,6-Dimethyl-4,5,6,7-tetrahydrobenzofuran-2(3H)-one"	NA	898141.666666667	306	239
307	"Benzamide, N-(2-ethyl-2H-1,2,3,4-tetrazol-5-yl)-4-fluoro-"	11184546.6666667	1288433.33333333	307	239
308	"5-Methanesulfonyl-1-methyl-1H-tetrazole"	1554843	1299366.33333333	308	239
309	"Allyl methallyl ether"	736062	579947.666666667	309	239
310	"2,3-Dehydro-1,8-cineole"	143519	379540	310	239
311	"2-(1-Hydroxy-1-methyl-ethyl)-1-methyl-cyclohexanol"	518583	1122328.66666667	311	239
312	"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol"	1612038	1804564.33333333	312	239
313	"Peak@12.495"	539255.333333333	350577.666666667	313	239
314	"Peak@12.499"	202072.333333333	130750.333333333	314	239
